scenario,sex,age_start,age_end,time_start,time_end,month,draw_0,draw_1,draw_2,draw_3,draw_4,draw_5,draw_6,draw_7,draw_8,draw_9,draw_10,draw_11,draw_12,draw_13,draw_14,draw_15,draw_16,draw_17,draw_18,draw_19,draw_20,draw_21,draw_22,draw_23,draw_24,draw_25,draw_26,draw_27,draw_28,draw_29,draw_30,draw_31,draw_32,draw_33,draw_34,draw_35,draw_36,draw_37,draw_38,draw_39,draw_40,draw_41,draw_42,draw_43,draw_44,draw_45,draw_46,draw_47,draw_48,draw_49,draw_50,draw_51,draw_52,draw_53,draw_54,draw_55,draw_56,draw_57,draw_58,draw_59,draw_60,draw_61,draw_62,draw_63,draw_64,draw_65,draw_66,draw_67,draw_68,draw_69,draw_70,draw_71,draw_72,draw_73,draw_74,draw_75,draw_76,draw_77,draw_78,draw_79,draw_80,draw_81,draw_82,draw_83,draw_84,draw_85,draw_86,draw_87,draw_88,draw_89,draw_90,draw_91,draw_92,draw_93,draw_94,draw_95,draw_96,draw_97,draw_98,draw_99,draw_100
elimination_asymp,female,0,5,0,.082135521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
elimination_asymp,female,0,5,.082135521,.16427104,1,.010410125,.010401645,.011050745,.013660252,.0084877703,.009010043,.0097683975,.011971349,.0066996608,.006824777,.013628232,.011151859,.013775376,.011277625,.013425204,.013634113,.0099630114,.0087929694,.0059515461,.012280409,.014327141,.010605215,.012980313,.009083692,.014530476,.013792234,.015835645,.0087471623,.0094854943,.016299225,.012168188,.012061303,.01050707,.0098454608,.011917454,.010655265,.0044714315,.0089447806,.0092841266,.0097574592,.012650819,.013806454,.016112791,.010398342,.012862854,.0086179152,.01233719,.013910918,.013244193,.0075659184,.008698402,.01283545,.015455896,.012069495,.0091153514,.01187148,.010830914,.01414461,.0063374876,.011535767,.0092187198,.011459642,.010144949,.011074918,.0098541519,.010936446,.0095459791,.0094088921,.0089315521,.012020067,.013139504,.011674765,.008649243,.0078919912,.010840483,.0072318851,.011301888,.012802716,.010888077,.017692227,.0087175583,.014335345,.0084882639,.0065392978,.0095123379,.010949361,.008537665,.011705574,.011124363,.012403302,.010715766,.011132518,.010614264,.0094232745,.012087516,.0052685728,.011952068,.011346871,.01033305,.0065041878,.010390711
elimination_asymp,female,0,5,.16427104,.24640657,2,.010410125,.010401645,.011050745,.013660252,.0084877703,.009010043,.0097683975,.011971349,.0066996608,.006824777,.013628232,.011151859,.013775376,.011277625,.013425204,.013634113,.0099630114,.0087929694,.0059515461,.012280409,.014327141,.010605215,.012980313,.009083692,.014530476,.013792234,.015835645,.0087471623,.0094854943,.016299225,.012168188,.012061303,.01050707,.0098454608,.011917454,.010655265,.0044714315,.0089447806,.0092841266,.0097574592,.012650819,.013806454,.016112791,.010398342,.012862854,.0086179152,.01233719,.013910918,.013244193,.0075659184,.008698402,.01283545,.015455896,.012069495,.0091153514,.01187148,.010830914,.01414461,.0063374876,.011535767,.0092187198,.011459642,.010144949,.011074918,.0098541519,.010936446,.0095459791,.0094088921,.0089315521,.012020067,.013139504,.011674765,.008649243,.0078919912,.010840483,.0072318851,.011301888,.012802716,.010888077,.017692227,.0087175583,.014335345,.0084882639,.0065392978,.0095123379,.010949361,.008537665,.011705574,.011124363,.012403302,.010715766,.011132518,.010614264,.0094232745,.012087516,.0052685728,.011952068,.011346871,.01033305,.0065041878,.010390711
elimination_asymp,female,0,5,.24640657,.32854208,3,.010410125,.010401645,.011050745,.013660252,.0084877703,.009010043,.0097683975,.011971349,.0066996608,.006824777,.013628232,.011151859,.013775376,.011277625,.013425204,.013634113,.0099630114,.0087929694,.0059515461,.012280409,.014327141,.010605215,.012980313,.009083692,.014530476,.013792234,.015835645,.0087471623,.0094854943,.016299225,.012168188,.012061303,.01050707,.0098454608,.011917454,.010655265,.0044714315,.0089447806,.0092841266,.0097574592,.012650819,.013806454,.016112791,.010398342,.012862854,.0086179152,.01233719,.013910918,.013244193,.0075659184,.008698402,.01283545,.015455896,.012069495,.0091153514,.01187148,.010830914,.01414461,.0063374876,.011535767,.0092187198,.011459642,.010144949,.011074918,.0098541519,.010936446,.0095459791,.0094088921,.0089315521,.012020067,.013139504,.011674765,.008649243,.0078919912,.010840483,.0072318851,.011301888,.012802716,.010888077,.017692227,.0087175583,.014335345,.0084882639,.0065392978,.0095123379,.010949361,.008537665,.011705574,.011124363,.012403302,.010715766,.011132518,.010614264,.0094232745,.012087516,.0052685728,.011952068,.011346871,.01033305,.0065041878,.010390711
elimination_asymp,female,0,5,.32854208,.41067761,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
elimination_asymp,female,0,5,.41067761,.49281314,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
elimination_asymp,female,0,5,.49281314,.57494867,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
elimination_asymp,female,0,5,.57494867,.65708417,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
elimination_asymp,female,0,5,.65708417,.73921973,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
elimination_asymp,female,0,5,.73921973,.82135522,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
